Author,Section,Question,Answer
Original Text,3.0,"What is difficult, especially about the future?",Predicting
Original Text,3.0,What is an example of something that seems much easier to predict?,the next few words
Original Text,3.0,"What is a very likely word to be in, or possibly over, but probably not?",refrigerator or the
Original Text,3.0,How will we formalize this intuition?,introducing models
Original Text,3.0,Models that assign a probability to each possible next word will also serve to assign a probability to what?,entire sentence
Original Text,3.0,What could a model predict that the following sequence has a much higher probability of appearing in a text?,probability
Original Text,3.0,"What are essential in any task in which we have to identify words in noisy, ambiguous input?",Probabilities
Original Text,3.0,What is a more probable sequence than a bassoon dish?,bassoon dish
Original Text,3.0,What writing tools are needed to find and correct errors in writing?,spelling correction or grammatical error correction
Original Text,3.0,"What phrase will be much more probable than ""Their are""?","""There are"""
Original Text,3.0,Assigning probabilities to sequences of words is also essential in what?,machine translation
Original Text,3.0,What language is a source sentence in?,Chinese
Original Text,3.0,What part of a Chinese source sentence did the translator introduce reporters to?,main contents
Original Text,3.0,What could suggest that briefed reporters on is a more probable English phrase than briefed to reporters?,A probabilistic model of word sequences
Original Text,3.0,Probabilities are important for what types of systems?,augmentative and alternative communication systems
Original Text,3.0,Who et al. 2017 said that probabilities are important for augmentative and alternative communication systems?,Kane
Original Text,3.0,In what year did Kane et al. publish a paper on the importance of probabilities in augmentative and alternative communication systems?,2017
Original Text,3.0,What can people use AAC devices to select words from a menu to be spoken by the system?,use eye gaze or other specific movements
Original Text,3.0,What can be used to suggest likely words for the menu?,Word prediction
Original Text,3.0,What are models that assign probabilities to sequences of words called?,language models or LMs
Original Text,3.0,What is the simplest model that assigns probabilities to sentences and sequences of words?,n-gram
Original Text,3.0,What is a sequence of n words?,n
Original Text,3.0,What model will we use to estimate the probability of the last word of an n-gram given the previous words?,n-gram
Original Text,3.0,"In terminological ambiguity, what term is used to mean the word sequence itself or the predictive model that assigns it a probability?",n-gram
Original Text,3.0,What model assigns the probability of the last word of an n-gram?,predictive model
Original Text,3.0,What is the name of the language model introduced in Chapter 9?,RNN LMs
Original Text,3.1,What is the probability of a word w given some history h?,P(w|h)
Original Text,3.1,What is one way to estimate the probability of a word w given some history h?,relative frequency counts
Original Text,3.1,How many times was the history h followed by the word w?,how many times
Original Text,3.1,What is a large enough corpus to compute the probability of a word w given some history h?,the web
Original Text,3.1,What is the probability of a word w given some history h?,3.2
Original Text,3.1,What should you do to estimate the probability of a word w given some history h?,compute this estimate for yourself
Original Text,3.1,What isn't big enough to give us good estimates in most cases?,web
Original Text,3.1,Why is the webn't big enough to give us good estimates in most cases?,language is creative
Original Text,3.1,What example sentence used to have counts of zero?,"""Walden Pond's water is so transparent that the"""
Original Text,3.1,"What is the probability of an entire sequence of words like ""Walden Pond's water is so transparent""?",its water is so transparent
Original Text,3.1,"What would we have to get the count of if we wanted to know the probability of an entire sequence of words like ""its water is so transparent?""",its water is so transparent
Original Text,3.1,"How much to estimate the probability of an entire sequence of words like ""its water is so transparent""?",rather a lot
Original Text,3.1,What is the first step in estimating the probability of a word given a history h?,formalizing of notation
Original Text,3.1,"To represent the probability of a particular random variable X, taking on the value ""the"", or P(Xi=""the""), we will",P(the)
Original Text,3.1,What will we represent a sequence of N words as?,w1...wn or w1:n
Original Text,3.1,What is one thing we can do to compute probability of entire sequences?,decompose
Original Text,3.1,What shows the link between computing the joint probability of a sequence and computing the conditional probability of a word given previous words?,The chain rule
Original Text,3.1,What suggests that we could estimate the joint probability of an entire sequence of words by multiplying together a number of conditional probabilities?,Equation 3.4
Original Text,3.1,What doesn't seem to help us estimate the probability of a word given a long sequence of preceding words?,using the chain rule
Original Text,3.1,We don't know any way to compute what?,the exact probability of a word given a long sequence of preceding words
Original Text,3.1,Why can't we just estimate by counting the number of times every word occurs following every long string?,language is creative
Original Text,3.1,How can we approximate the probability of a word given its entire history?,by just the last few words
Original Text,3.1,What model approximates the probability of a word given all the previous words?,bigram model
Original Text,3.1,What is the probability P(the|Walden Pond's water is so transparent that) approximated with?,the probability P(the|that)
Original Text,3.1,What is the approximation of the conditional probability of the next word?,P(wn|w1:n-1)
Original Text,3.1,What is the assumption that the probability of a word depends only on the previous word called?,Markov assumption
Original Text,3.1,What are the class of probabilistic models that assume we can predict the probability of some future unit without looking too far into the past?,Markov models
Original Text,3.1,What model looks two words into the past?,trigram
Original Text,3.1,What is the general equation for the conditional probability of the next word in a sequence?,(3.8)
Original Text,3.1,What equation is used to compute the probability of a complete word sequence?,Eq. 3.7
